,Compound,Date,Negative,Neutral,News Source,Positive,Tweet Text,Tweets ago
0,0.0,Tue Mar 20 19:48:04 +0000 2018,0.0,1.0,BBC,0.0,"This #WorldFrogDay, why not try making an origami jumping frog with @BBCTaster's step-by-step tutorial? 🐸… https://t.co/jjMqUND883",0
1,0.0,Tue Mar 20 19:03:04 +0000 2018,0.0,1.0,BBC,0.0,"Michael Portillo travels across India guided by Bradshaw's 1913 Handbook of Indian, Foreign and Colonial Travel. 🇮🇳… https://t.co/4WG0esDk8m",1
2,-0.3859,Tue Mar 20 18:33:01 +0000 2018,0.16,0.768,BBC,0.071,"Can you watch this without laughing? 😹🔊 You'll want your sound on for this! #InternationalDayOfHappiness

https://t.co/vA5yr0PCC5",2
3,0.34,Tue Mar 20 17:33:03 +0000 2018,0.102,0.738,BBC,0.16,"Professor Stephen Hawking's funeral will take place in Cambridge - ""the city that he loved so much and which loved… https://t.co/LHh0Nfeh6U",3
4,0.0,Tue Mar 20 17:03:01 +0000 2018,0.0,1.0,BBC,0.0,"Un-bee-lievable! 🐝😍 Meet the woman who kept a bee as a pet. 
https://t.co/5zRxWpSGOH",4
5,0.0,Tue Mar 20 16:05:04 +0000 2018,0.0,1.0,BBC,0.0,"Arise, Sir Ringo! 🎖🎶@thebeatles drummer @ringostarrmusic has been knighted for his services to music.… https://t.co/OQLixgO2Zi",5
6,0.0,Tue Mar 20 15:33:03 +0000 2018,0.0,1.0,BBC,0.0,The first polar bear cub to be born in the UK for 25 years has emerged from his den at Scotland's Highland Wildlife… https://t.co/WZLoy2mz7y,6
7,0.4084,Tue Mar 20 15:03:02 +0000 2018,0.0,0.868,BBC,0.132,"'Everybody has a voice'. ❤️️🎶

Rugby legends JPR Williams and JJ Williams visit @FMNChorus and the BBC National Cho… https://t.co/myuIpumZnL",7
8,0.6369,Tue Mar 20 14:24:06 +0000 2018,0.0,0.741,BBC,0.259,📸The best pictures from the 2018 Paralympic Winter Games in Pyeongchang: https://t.co/w8dYDPHkAw https://t.co/0SVnupv9rB,8
9,0.0,Tue Mar 20 14:03:04 +0000 2018,0.0,1.0,BBC,0.0,Prince Harry and Meghan Markle have chosen an organic lemon and elderflower cake for their wedding in May. 🍰🍋💍… https://t.co/H7dWlxmYcR,9
10,0.2235,Tue Mar 20 13:16:25 +0000 2018,0.0,0.881,BBC,0.119,"RT @BBCWalesNews: 🎟🎞🍿Cinema makes maths class an offer they can't refuse
Full story: https://t.co/Uwg6NTRFVF https://t.co/hr4dglHIu3",10
